CustomerID,Age,FamilyMember,Region,Gender,EducationScore,EmploymentScore,IncomeGroup,Marital Status,DaysSinceFirstProduct,NumberofTransactions,CashTransactions,CardTransaction,ChequeTransaction,DaysSinceLastTransaction,DaystoNextRenewal,NumberPremiumPaid,PremiumAmt,AquisitionChannel,Carwonership,TwowheelerOwnership,MedicalBill,TotalPoliciesMatured,TotalPoliciesBought,AnnualPolicies,SemiAnnualPolicies,QuarterlyPolicies,MonthlyPolicies,SalesRepRating,Email_Response,Call_Respone,Message_Response,Complaintslogged,NumberofClaims,ClaimsPaid,ClaimsDenied,CarInsurance,TwoWheelerInsurance,CommercialInsurance,HealthInsurance,AccidentIsnurance,TravelInsurance,HomeInsurance,LifeInsurance
C1,49,4,Region 9,Female,6,7,10,0,790,12,5,0,7,248,272,14,12236,Online,1,1,1,0,7,4,3,0,0,7,1,0,0,0,4,1,3,1,1,1,0,1,1,1,1
C2,56,3,Region 3,Female,8,9,9,1,920,5,0,3,2,283,123,10,10925,Reseller,0,1,1,3,4,4,0,0,0,5,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
C3,31,1,Region 5,Female,10,5,6,0,1151,21,10,3,8,247,334,9,6110,Online,1,0,1,2,3,3,0,0,0,5,0,0,0,3,5,4,1,0,0,1,1,0,1,0,0
C4,64,6,Region 6,Male,8,9,6,0,1362,27,8,9,10,362,266,18,9006,Online,1,1,1,4,5,0,5,0,0,9,0,0,1,2,5,2,3,0,1,1,0,1,1,0,1
C5,59,3,Region 7,Female,6,9,8,1,1675,13,4,1,8,330,121,17,5071,Online,1,1,1,3,5,2,1,1,1,7,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0
C6,47,5,Region 2,Female,8,5,5,0,1002,22,10,8,4,95,255,4,12262,Online,1,1,1,3,3,0,1,1,1,9,0,1,0,5,5,0,5,1,1,0,1,0,0,0,0
C7,48,2,Region 1,Female,9,8,9,1,517,21,5,6,10,183,305,6,7348,Reseller,1,1,0,0,5,4,1,0,0,10,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
C8,34,6,Region 5,Female,10,10,6,1,1795,13,2,9,2,94,208,8,5731,Online,1,1,1,1,3,0,1,1,1,10,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
C9,53,3,Region 3,Male,10,9,7,1,327,17,1,8,8,149,303,0,7043,Direct,0,1,0,0,2,1,0,0,1,5,0,0,1,5,1,1,0,0,1,0,0,1,0,0,0
C10,60,2,Region 5,Female,6,9,8,1,733,22,9,7,6,364,193,6,8626,Direct,0,1,0,2,3,0,3,0,0,5,0,0,0,0,4,0,4,0,1,1,1,0,0,0,0
C11,27,2,Region 8,Female,7,8,10,1,1206,15,4,5,6,246,257,16,13230,Direct,1,1,1,3,5,5,0,0,0,9,1,0,1,4,3,3,0,0,1,0,0,1,1,1,1
C12,58,3,Region 3,Female,7,5,5,0,76,12,3,6,3,30,192,1,8047,Direct,1,0,1,5,5,5,0,0,0,9,0,1,0,3,4,1,3,1,0,0,1,0,1,1,1
C13,36,5,Region 8,Male,6,8,10,0,1534,7,3,1,3,237,243,20,9270,Online,1,1,1,2,5,2,2,1,0,10,0,0,1,4,0,0,0,1,1,1,0,0,1,0,1
C14,60,4,Region 10,Female,10,8,7,1,684,18,3,10,5,136,161,7,8508,Direct,0,1,0,0,4,4,0,0,0,10,0,1,1,3,5,0,5,0,1,1,0,1,1,0,0
C15,41,6,Region 7,Female,7,8,10,0,881,15,5,1,9,123,183,9,14068,Direct,1,1,0,3,4,4,0,0,0,5,0,1,1,1,4,2,2,1,1,0,0,1,1,0,0
C16,30,5,Region 1,Male,7,8,7,0,1372,6,1,3,2,262,273,15,7954,Direct,1,1,0,5,5,4,0,0,1,6,1,1,0,4,1,1,0,1,1,1,1,1,0,0,0
C17,50,1,Region 6,Female,8,10,9,1,131,15,6,0,9,158,144,0,11887,Reseller,1,1,0,5,5,2,1,0,2,9,0,1,0,3,4,1,3,1,1,0,1,0,0,1,1
C18,45,3,Region 2,Male,5,5,9,1,1225,8,2,4,2,126,272,16,13013,Direct,1,1,1,1,5,0,0,5,0,6,1,1,0,5,2,1,1,1,1,1,0,1,0,1,0
C19,56,1,Region 6,Male,7,5,6,0,78,8,1,0,7,313,199,0,12511,Reseller,1,1,1,0,1,1,0,0,0,7,0,1,1,5,1,0,1,1,0,0,0,0,0,0,0
C20,53,1,Region 9,Female,10,6,5,1,1093,11,4,5,2,123,334,16,13740,Reseller,1,1,1,0,6,5,1,0,0,8,0,1,0,5,5,2,3,1,1,1,1,0,1,1,0
C21,60,2,Region 7,Male,8,7,5,0,49,17,3,6,8,199,57,0,9151,Online,1,0,0,5,7,0,5,0,2,9,0,0,1,5,4,0,4,1,0,1,1,1,1,1,1
C22,44,3,Region 1,Male,9,7,10,1,1471,22,6,8,8,158,245,8,5683,Reseller,0,1,0,0,2,2,0,0,0,10,0,1,0,2,5,5,0,0,0,1,0,0,0,1,0
C23,65,5,Region 5,Female,8,5,5,1,557,19,5,10,4,263,145,5,9312,Online,1,1,0,4,4,3,1,0,0,5,0,0,1,5,2,0,2,0,0,1,1,1,0,0,1
C24,38,4,Region 7,Female,5,10,8,1,1016,14,3,1,10,269,50,8,7419,Reseller,0,1,1,0,5,0,3,0,2,5,1,1,1,3,2,2,0,0,1,1,0,0,1,1,1
C25,28,5,Region 10,Female,9,9,9,1,1672,15,6,8,1,347,103,22,10851,Online,0,1,1,4,5,0,5,0,0,8,0,0,0,2,2,1,1,0,1,1,1,0,0,1,1
C26,32,5,Region 6,Male,8,9,7,1,330,12,5,5,2,276,73,2,5147,Direct,1,1,0,0,5,3,1,1,0,10,0,0,0,1,2,2,0,0,1,0,1,0,1,1,1
C27,51,1,Region 1,Female,10,7,6,1,753,14,4,4,6,189,334,2,9212,Online,1,1,0,1,3,0,1,0,2,10,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
C28,37,3,Region 10,Female,6,5,8,0,143,16,9,7,0,18,87,1,9445,Online,1,1,1,5,5,0,3,1,1,9,1,1,1,4,2,1,1,0,1,0,1,1,1,1,0
C29,42,4,Region 2,Male,8,7,8,0,1683,21,10,2,9,364,354,23,11033,Online,1,1,1,5,6,5,0,0,1,9,1,1,1,3,1,1,0,1,1,1,0,1,0,1,1
C30,31,1,Region 3,Male,9,8,8,1,159,16,9,7,0,188,224,2,10454,Reseller,1,1,0,4,5,0,5,0,0,8,1,1,1,5,0,0,0,1,0,1,1,0,1,1,0
C31,32,6,Region 8,Male,6,8,8,1,372,2,0,0,2,90,57,6,7060,Online,1,1,1,0,6,6,0,0,0,8,0,1,0,5,3,1,2,1,1,0,1,1,1,0,1
C32,38,5,Region 5,Male,7,10,7,1,1028,14,10,3,1,103,225,11,7575,Online,1,1,0,3,5,0,4,0,1,8,0,1,1,5,0,0,0,1,0,1,1,1,0,1,0
C33,37,2,Region 1,Female,5,6,9,0,1659,12,1,7,4,340,59,18,8596,Reseller,1,1,1,0,4,4,0,0,0,8,0,0,0,2,3,1,2,0,1,1,1,1,0,0,0
C34,29,4,Region 10,Female,8,8,6,1,819,8,5,3,0,340,134,6,8874,Online,0,0,0,0,4,3,0,0,1,6,0,0,1,0,2,2,0,0,0,0,1,1,0,1,1
C35,36,3,Region 4,Male,9,9,9,1,1075,13,6,7,0,110,158,5,14837,Reseller,1,1,1,2,2,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
